Europe,Southern Europe,Croatia,UN-CTS,2805,3029,3485,3833,4290,4734,4891,5165,5084,4741,4352,3763,3341,3108,,63.9,69.1,79.6,87.7,98.3,108.8,112.7,119.3,117.9,110.3,101.7,88.4,78.9,73.8
Americas,Caribbean,Cuba,WPB-ICPR,55000,,,60000,,,,,,57337,,,,,,489.1,,,531.2,,,,,,503.7,,,,
Americas,Caribbean,Curaçao,WPB-ICPR,,,,578,,,,541,,440,,348,,,,,,,438.2,,,,366.5,,287.6,,222.3,,
Asia,Western Asia,Cyprus,UN-CTS,359,454,502,578,547,652,578,636,622,678,553,532,547,,,36.1,44.9,48.8,55.3,51.4,60.3,52.6,57.2,55.3,59.7,48.3,46.2,47.1,
Europe,Eastern Europe,Czechia,UN-CTS/WPB-ICPR,17360,18343,18937,18578,18901,20502,21853,21900,23170,22644,16645,18658,20866,22481,,169.5,179.1,184.6,180.4,182.5,196.7,208.4,207.9,219.2,213.9,157.1,176.0,196.8,211.9
Africa,Middle Africa,Democratic Republic of the Congo,WPB-ICPR,,30000,,,,,,22000,,,,,20550,,,,56.6,,,,,,34.1,,,,,27.0,
Europe,Northern Europe,Denmark,UN-CTS,3641,3767,4041,3932,3624,3451,3721,3944,3947,3829,4091,3583,3203,3408,,67.6,69.7,74.5,72.2,66.3,62.8,67.3,71.0,70.7,68.2,72.6,63.3,56.3,59.7
Africa,Eastern Africa,Djibouti,WPB-ICPR,,,,,,,525,,750,,550,,600,600,,,,,,,,62.7,,86.6,,61.3,,64.7,63.7
Americas,Caribbean,Dominica,WPB-ICPR,243,290,282,301,254,235,,295,,275,266,,219,,,346.7,412.1,399.3,425.1,358.0,330.6,,412.9,,381.7,367.4,,299.3,
Americas,Caribbean,Dominican Republic,UN-CTS/WPB-ICPR,16789,13008,12657,13752,,16718,,20743,21875,24044,24744,25203,,16750,,187.2,142.9,137.0,146.7,,173.5,,209.6,218.2,236.8,240.7,242.2,,157.4
Americas,South America,Ecuador,UN-CTS/WPB-ICPR,9866,11358,11971,12635,,12067,,11800,,21305,25494,24036,,34665,,74.2,84.1,87.2,90.5,,83.5,,79.0,,138.2,162.8,151.1,,211.6
Africa,Northern Africa,Egypt,WPB-ICPR,,,,64378,,,,,66000,,,,,106000,,,,,82.4,,,,,76.8,,,,,110.9
Americas,Central America,El Salvador,UN-CTS/WPB-ICPR,,12073,12525,14771,17867,19814,22101,24662,25367,28383,26848,28334,32645,,,,201.2,207.7,243.9,293.7,324.3,360.1,400.1,409.6,456.2,429.5,451.1,517.2,
Africa,Middle Africa,Equatorial Guinea,WPB-ICPR,,,,,,,,,,,,,500,,,,,,,,,,,,,,,42.5,
Europe,Northern Europe,Estonia,UN-CTS,4576,4565,4410,4310,3456,3656,3555,3393,3400,3286,3112,3034,2823,,,333.3,334.8,325.3,319.4,257.1,272.9,266.1,254.7,255.9,248.0,235.5,230.1,214.6,
Africa,Eastern Africa,Ethiopia,WPB-ICPR,,74413,,72211,,85664,,104467,,111050,,113727,,,,,99.7,,91.6,,103.0,,119.1,,120.1,,116.8,,
Europe,Northern Europe,Faroe Islands,UN-CTS/WPB-ICPR,13,,10,12,,12,9,8,8,8,10,11,10,8,,27.1,,20.7,24.8,,24.7,18.6,16.5,16.5,16.4,20.5,22.5,20.4,16.3
Oceania,Melanesia,Fiji,WPB-ICPR,,1083,1113,1121,,919,,1097,,1397,,1540,1555,,,,132.3,135.4,135.5,,109.0,,127.6,,159.9,,173.9,174.3,
Europe,Northern Europe,Finland,UN-CTS,3641,3704,3867,3851,3625,3530,3589,3364,3268,3306,3295,3148,3135,3156,,69.7,70.7,73.5,73.0,68.4,66.4,67.2,62.7,60.6,61.1,60.6,57.7,57.2,57.4
Europe,Western Europe,France,UN-CTS/WPB-ICPR,55382,55355,55302,58402,61076,62252,60978,60544,64787,66572,67075,66270,66678,68432,,91.5,90.9,90.3,94.8,98.6,99.9,97.3,96.1,102.3,104.6,104.9,103.2,103.4,105.8
Americas,South America,French Guiana,WPB-ICPR,,691,,630,,658,,715,,654,,701,,,,,352.4,,299.0,,295.8,,305.3,,264.3,,267.9,,
Oceania,Polynesia,French Polynesia,WPB-ICPR,291,,314,,404,,,,,426,,429,,397,,117.1,,123.2,,155.0,,,,,156.8,,155.7,,141.6
