,Compound,Date,Negative,Network,Neutral,Positive,Text,Tweets Ago
26,0.0,Tue Oct 02 01:43:40 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@NB_ED4ever Analyze: @NB_ED4ever,27
27,0.0,Mon Oct 01 22:12:29 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@mr_bryan_lowe,28
28,0.0,Mon Oct 01 22:00:18 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@pan_bot Analyze:@PlayOverwatch,29
29,0.0,Sat Sep 29 20:40:24 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @lifehackorg,30
30,0.0,Sat Sep 29 20:39:50 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @HellthyJunkFood,31
31,0.0,Sat Sep 29 20:39:01 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @UCIrvine,32
32,0.0,Sat Sep 29 17:19:02 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@ChaplyginAndrei analyze tweets of @SuperMario_UK,33
33,0.3818,Wed Sep 26 02:44:56 +0000 2018,0.698,@NB_ED4ever,0.0,0.302,Weather condition right now is clear sky,34
34,0.0,Wed Sep 26 02:43:25 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,Weather condition right now is stations,35
35,0.0,Sat Sep 22 20:49:59 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,Hey Programming on Saturday,36
36,0.0,Fri Sep 21 21:42:22 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,@KristianNairn @Warcraft For the Alliance!!,37
37,0.0,Fri Sep 21 21:41:22 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,https://t.co/M09Fzw6Rfh,38
38,0.0,Thu Sep 20 00:37:57 +0000 2018,1.0,@NB_ED4ever,0.0,0.0,"""Google AI with Jeff Dean""
 https://t.co/3DPDvuSThY via @gcppodcast",39
39,0.5859,Tue Sep 11 04:07:46 +0000 2018,0.759,@NB_ED4ever,0.0,0.241,“30 Amazing Machine Learning Projects for the Past Year (v.2018)” by @Mybridge https://t.co/9O1b9zzC5M,40
40,0.0,Tue Oct 02 18:54:53 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/jYSchd5RxE",1
41,0.0,Tue Oct 02 18:54:52 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/9e1NFwu2IY",2
42,0.0,Tue Oct 02 18:54:50 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@CO2_Dispenser, see your results! https://t.co/GyWgcDRGAr",3
43,0.0,Tue Oct 02 18:54:49 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/sPIK7cZO8u",4
44,0.0,Tue Oct 02 18:54:48 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"@NB_ED4ever, see your results! https://t.co/EJFHXuoDmO",5
45,0.0,Tue Oct 02 03:34:55 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,@NB_ED4ever perform voodoo on @CNN,6
46,0.0,Wed Sep 26 04:17:18 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Break down of tweet labels for CNN https://t.co/S9VcydiOky,7
47,0.0,Wed Sep 26 02:47:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! The current weather condition at London is #scattered clouds,8
48,0.0,Wed Sep 26 02:44:29 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! The current weather condition at London is #clear sky,9
49,0.0,Wed Sep 26 02:20:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #3, but with a timer",10
50,0.0,Wed Sep 26 02:19:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #2, but with a timer",11
51,0.0,Wed Sep 26 02:18:54 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #1, but with a timer",12
52,0.0,Wed Sep 26 02:17:32 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,"Hey! This is tweet #5, but with a timer",13
53,0.0,Wed Sep 26 02:13:52 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #5.2,14
54,0.0,Wed Sep 26 02:13:52 +0000 2018,1.0,@peter_pan_daz,0.0,0.0,Hey! This is tweet #4.2,15
