Europe,Western Europe,France,UN-CTS/WPB-ICPR,"55,382","55,355","55,302","58,402","61,076","62,252","60,978","60,544","64,787","66,572","67,075","66,270","66,678","68,432",,91.5,90.9,90.3,94.8,98.6,99.9,97.3,96.1,102.3,104.6,104.9,103.2,103.4,105.8
Americas,South America,French Guiana,WPB-ICPR,,691,,630,,658,,715,,654,,701,,,,,352.4,,299.0,,295.8,,305.3,,264.3,,267.9,,
Oceania,Polynesia,French Polynesia,WPB-ICPR,291,,314,,404,,,,,426,,429,,397,,117.1,,123.2,,155.0,,,,,156.8,,155.7,,141.6
Africa,Middle Africa,Gabon,WPB-ICPR,,,,,,,,,,,,,"3,373",,,,,,,,,,,,,,,174.8,
Africa,Western Africa,Gambia,WPB-ICPR,,,,,,,780,,"1,000",,"1,000","1,121",,,,,,,,,,47.6,,57.3,,53.8,58.5,,
Asia,Western Asia,Georgia,UN-CTS,"6,119","7,867","9,144","15,464","18,309","18,659","21,239","23,684","24,114","19,349","9,093","10,372","9,716","9,334",,133.6,173.5,203.8,348.4,417.0,429.9,495.3,559.7,578.1,471.0,224.7,259.8,245.9,236.8
Europe,Western Europe,Germany,UN-CTS,"80,829","80,933","80,201","78,063","75,153","73,793","72,295","70,827","69,543","68,533","66,221","63,228","63,020","64,291",,99.0,99.0,98.2,95.7,92.4,91.0,89.3,87.6,85.9,84.5,81.5,77.6,77.1,78.5
Africa,Western Africa,Ghana,WPB-ICPR,"11,397","11,581","12,371","12,847",,"14,128",,"13,507",,"13,487","14,021","14,599",,"14,368",,55.7,55.2,57.4,58.1,,60.6,,55.1,,52.4,53.2,54.1,,50.9
Europe,Southern Europe,Gibraltar,WPB-ICPR,,19,,30,,37,,53,,63,,,,56,,,59.6,,92.9,,113.0,,159.7,,187.4,,,,162.9
Europe,Southern Europe,Greece,UN-CTS,"8,726","8,722","9,964","10,370","11,645","11,736","11,364","12,349","12,479","12,475","12,693","11,798","9,716","9,560",,77.6,77.4,88.2,91.5,102.3,102.8,99.3,107.9,109.2,109.6,112.1,104.7,86.6,85.4
Americas,Northern America,Greenland,WPB-ICPR,,111,,115,,132,,171,,170,,131,126,,,,195.2,,201.9,,232.2,,301.9,,301.0,,232.3,223.5,
Americas,Caribbean,Grenada,UN-CTS/WPB-ICPR,,182,237,334,367,386,409,438,457,489,480,513,502,457,,,177.3,230.2,323.5,354.3,371.4,392.2,418.4,434.9,463.6,453.2,482.3,469.9,425.8
Americas,Caribbean,Guadeloupe,WPB-ICPR,695,,743,,790,,,,784,,871,,907,,,160.1,,169.0,,177.6,,,,173.7,,193.0,,201.4,
Oceania,Micronesia,Guam,WPB-ICPR,,393,,495,,559,,559,,585,,754,756,,,,248.6,,312.0,,351.5,,350.6,,365.7,,468.4,467.3,
Americas,Central America,Guatemala,UN-CTS/WPB-ICPR,"8,307","8,698","8,247","7,477",,"8,158",,"11,148",,"15,013","16,336","18,425",,,,66.5,68.0,63.0,55.8,,58.2,,76.2,,98.3,104.7,115.7,,
Europe,Northern Europe,Guernsey,WPB-ICPR,,93,,117,,87,,75,,117,,,,91,,,,,,,,,,,,,,,
Africa,Western Africa,Guinea,UN-CTS/WPB-ICPR,,,,,"2,539","2,780",,"3,800",,"2,600",,"3,110",,"2,900",,,,,,25.1,26.9,,35.2,,23.0,,26.3,,23.3
Africa,Western Africa,Guinea-Bissau,WPB-ICPR,,,,,,,,,,,92,,,196,,,,,,,,,,,,5.5,,,10.8
Americas,South America,Guyana,UN-CTS,,"1,280","1,461","1,861","2,171","2,117","2,179","2,160","2,035","2,032","1,998",,"1,998",,,,170.3,194.6,248.3,290.3,283.7,292.2,289.3,271.7,269.8,263.6,,260.0,
Americas,Caribbean,Haiti,WPB-ICPR,"3,519","1,941","3,670","4,663","6,370","8,204",,"5,331",,"8,722","9,936","10,461","11,046",,,39.2,21.3,39.6,49.6,66.7,84.5,,53.3,,84.8,95.2,98.9,103.1,
Europe,Southern Europe,Holy See,UN-CTS,,,,,,,0,0,0,1,0,0,1,,,,,,,,,0.0,0.0,0.0,124.4,0.0,0.0,124.5,
Americas,Central America,Honduras,UN-CTS/WPB-ICPR,,"10,931","11,589","11,178",,"11,390",,"11,770","12,006","12,095","13,184","14,882","16,158","17,494",,,151.7,157.2,148.2,,144.7,,143.6,143.8,142.2,152.3,168.9,180.3,192.0
Europe,Eastern Europe,Hungary,UN-CTS,"16,860","16,546","15,755","14,822","14,353","14,743","15,432","16,328","17,210","17,179","17,841","17,890","17,449","17,658",,166.2,163.6,156.2,147.4,143.2,147.6,155.0,164.5,173.9,174.1,181.3,182.3,178.3,181.1
Europe,Northern Europe,Iceland,UN-CTS,109,115,119,119,115,140,148,167,150,153,152,154,,124,,37.9,39.5,40.3,39.7,37.7,45.0,46.8,52.1,46.4,47.0,46.5,46.9,,37.3
Asia,Southern Asia,India,UN-CTS/WPB-ICPR,"313,635","331,391","358,368","373,271","376,396","384,753","376,969","368,998","372,926","385,135","411,992","418,536","419,623",,,28.3,29.4,31.3,32.1,31.9,32.1,31.0,30.0,29.9,30.5,32.2,32.3,32.1,
Asia,South-Eastern Asia,Indonesia,UN-CTS/WPB-ICPR,"84,357","87,185","97,691","116,688",,"137,144",,"117,863",,"156,446","160,061","159,964","173,572","202,621",,38.2,39.0,43.1,50.8,,58.1,,48.6,,62.9,63.5,62.7,67.2,77.6
Asia,Southern Asia,Iran (Islamic Republic of),WPB-ICPR,"157,267",,"134,384",,"148,843",,"168,516",,"250,000",,"226,220","225,624",,,,228.5,,190.8,,206.6,,228.7,,331.2,,292.1,287.7,,
Asia,Western Asia,Iraq (Central Iraq),UN-CTS,,,,,,"16,767","20,104","24,965","26,369","31,187","30,499",,,,,,,,,,67.5,78.7,94.9,97.1,111.1,105.0,,,
Europe,Northern Europe,Ireland,UN-CTS,"3,234","3,162","3,022","3,080","3,253","3,484","3,868","4,318","4,216","4,287","4,088","3,777","3,755","3,716",,79.9,76.6,71.7,71.6,74.0,77.6,84.7,93.3,90.4,91.6,87.3,80.6,79.9,78.4
Europe,Northern Europe,Isle of Man,WPB-ICPR,,51,,76,,107,,97,,81,,,,76,,,67.7,,98.8,,136.2,,121.1,,99.5,,,,90.8
Asia,Western Asia,Israel,UN-CTS,"12,228","13,909","16,055","20,617","21,949","21,905",,"20,191","18,967","20,291","18,610","20,781",,,,192.6,215.0,243.1,305.2,317.1,308.6,,271.9,250.6,263.6,237.9,261.7,,
Europe,Southern Europe,Italy,UN-CTS,"54,993","56,903","60,415","39,794","49,697","59,284","65,598","69,263","68,325","67,102","63,848","54,745","53,410",,,94.6,97.3,102.7,67.4,83.8,99.6,110.0,116.0,114.3,112.3,107.0,91.9,89.8,
Americas,Caribbean,Jamaica,UN-CTS/WPB-ICPR,"4,744",,"4,825","4,913","4,709",,"5,163",,"4,457","4,364","4,112","4,034","3,854","3,799",,174.9,,175.8,178.0,169.7,,184.1,,157.5,153.6,144.2,140.9,134.2,131.9
Asia,Eastern Asia,Japan,UN-CTS,"73,734","76,413","79,055","81,255","79,809","76,881","75,250","72,975","69,876","67,008","62,971","60,486","58,497","55,967",,57.6,59.6,61.6,63.3,62.1,59.8,58.5,56.8,54.4,52.2,49.1,47.2,45.7,43.8
Europe,Northern Europe,Jersey,WPB-ICPR,,170,,174,,181,,177,,157,,,,140,,,,,,,,,,,,,,,
Asia,Western Asia,Jordan,UN-CTS/WPB-ICPR,,,"6,378","6,166","6,633","7,077","7,206","8,434","6,262","7,714","8,000","10,089","11,489",,,,,111.6,103.9,107.1,109.0,105.6,117.4,82.7,96.5,95.1,114.5,125.4,
Asia,Central Asia,Kazakhstan,UN-CTS,,,"52,203","51,544",,"48,270","50,495","55,140","49,401","45,335","42,052","43,220","42,114",,,,,335.9,328.5,,301.7,312.0,336.2,296.7,267.9,244.4,247.1,237.3,
Africa,Eastern Africa,Kenya,UN-CTS/WPB-ICPR,,"55,000","50,000",,,"49,092","48,122","48,153","51,068","44,522","53,430","53,537","54,225","48,500",,,156.8,138.7,,,125.4,119.6,116.5,120.2,102.0,119.2,116.3,114.8,100.0
Oceania,Micronesia,Kiribati,WPB-ICPR,,81,74,84,88,84,,90,,106,,120,146,129,,,89.5,80.2,89.1,91.4,85.3,,87.7,,99.4,,108.6,129.9,112.7
